Drug Induced Liver Injury Rank (DILIrank) Dataset Ver 2.0 | FDA,,,,,,
LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,
LT00040,Abacavir sulfate,8,Warnings & precautions,vMOST-DILI-concern,Unchanged,
LT03618,Abaloparatide,0,No match,vNo-DILI-concern,New,
LT01402,Abatacept,0,No match,vLess-DILI-concern,Unchanged,
LT01330,Abciximab,0,No match,vNo-DILI-concern,Unchanged,
LT03619,Abemaciclib,3,Warnings & precautions,vLess-DILI-concern,New,
LT02339,Abiraterone acetate,8,Warnings & precautions,vMost-DILI-concern,New,
LT03614,Acalabrutinib,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT01141,Acamprosate calcium,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01034,Acarbose,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01035,Acebutolol hydrochloride,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01853,Aceclofenac,0,No match,vLess-DILI-concern,Unchanged,
LT00004,Acetaminophen,5,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00498,Acetazolamide,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00913,Acetohydroxamic acid,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT02096,Acetylcholine chloride,0,No match,vNo-DILI-concern,Unchanged,
LT01041,Acetylcysteine,0,No match,vNo-DILI-concern,Unchanged,
LT01042,Acitretin,5,Box warning,vMost-DILI-concern,Unchanged,
LT00041,Acyclovir,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01387,Adalimumab,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01155,Adefovir dipivoxil,2,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT01047,Adenosine,0,No match,vNo-DILI-concern,Unchanged,
LT02889,Afatinib dimaleate,8,Warnings & precautions,Ambiguous-DILI-concern,New,
LT02385,Agalsidase beta,0,No match,vNo-DILI-concern,Unchanged,
LT02213,Alaproclate,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00461,Alatrofloxacin mesylate,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00499,Albendazole,7,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01051,Albuterol,0,No match,vNo-DILI-concern,Unchanged,
LT00692,Alclofenac,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT01319,Aldesleukin,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT03620,Alectinib hydrochloride,4,Warnings & precautions,Ambiguous-DILI-concern,New,
LT01364,Alemtuzumab,0,No match,vLess-DILI-concern,Revised,
LT00980,Alendronate sodium,0,No match,vLess-DILI-concern,Unchanged,
LT00925,Alfentanil hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT01107,Alfuzosin hydrochloride,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01404,Alglucosidase alfa,0,No match,vNo-DILI-concern,Unchanged,
LT01244,Aliskiren hemifumarate,0,No match,vLess-DILI-concern,Unchanged,
LT00043,Allopurinol,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01053,Almotriptan malate,0,No match,vNo-DILI-concern,Unchanged,
LT02888,Alogliptin benzoate,8,Warnings & precautions,Ambiguous-DILI-concern,New,
